userId;itemId;rating
1;3;5.0
1;5;4.3
1;16;5.0
1;40;2.8
1;52;5.0
1;62;4.5
2;65;3.8
3;65;4.0
4;66;4.5
5;52;5.0
6;11;4.8
7;71;4.3
8;10;5.0
9;10;5.0
10;10;5.0
10;31;5.0
10;49;5.0
11;48;5.0
12;19;5.0
12;24;5.0
13;14;4.3
14;39;5.0
15;34;4.8
15;38;4.8
16;71;5.0
17;61;5.0
18;3;4.3
19;7;5.0
19;15;4.0
19;51;4.5
20;24;3.8
20;65;5.0
21;2;5.0
21;52;5.0
22;26;4.3
23;39;5.0
24;12;4.8
25;40;3.8
26;2;5.0
27;29;5.0
27;49;5.0
28;2;5.0
28;18;5.0
28;62;5.0
28;64;5.0
29;20;4.3
30;10;4.5
31;72;3.5
32;58;4.3
32;63;4.5
33;35;4.3
33;63;4.8
34;69;5.0
35;18;3.8
35;51;4.8
36;41;4.5
36;56;4.8
36;57;5.0
37;11;4.0
38;41;4.3
39;3;4.3
40;12;4.8
41;37;5.0
42;39;3.3
43;57;4.0
44;70;3.5
45;12;5.0
45;52;5.0
45;56;5.0
46;20;4.8
46;24;4.8
47;3;4.0
48;4;5.0
48;18;5.0
49;56;4.8
50;54;4.5
51;54;5.0
52;62;5.0
52;64;4.8
53;32;5.0
53;36;4.8
53;65;3.5
54;3;5.0
54;7;5.0
54;10;5.0
55;54;5.0
56;73;5.0
57;40;4.5
58;12;5.0
59;35;5.0
59;50;5.0
60;14;5.0
61;43;4.0
62;11;4.8
63;15;4.3
63;56;5.0
64;67;4.0
65;59;4.8
66;17;5.0
66;51;5.0
67;24;5.0
68;68;4.0
69;61;3.8
70;17;4.5
70;55;4.3
71;3;4.3
72;28;4.8
73;4;5.0
74;14;4.0
74;32;5.0
74;35;4.5
74;36;4.3
74;37;3.5
74;46;4.0
74;66;4.3
75;37;4.5
76;68;4.0
77;36;5.0
77;59;5.0
78;37;5.0
79;37;5.0
79;49;5.0
80;12;4.5
81;18;5.0
82;4;4.5
83;47;3.5
83;51;4.5
84;7;5.0
84;49;4.8
85;37;5.0
86;54;4.5
87;10;4.8
88;49;4.8
89;40;4.5
90;10;5.0
90;46;4.8
91;57;4.5
92;3;5.0
93;2;5.0
93;6;4.8
94;67;5.0
94;68;5.0
95;24;3.3
96;63;4.8
97;12;4.5
98;11;5.0
99;46;4.0
100;65;5.0
101;10;4.5
102;46;4.3
103;37;5.0
104;48;4.5
105;46;4.5
106;3;5.0
107;12;4.8
108;29;4.0
109;11;4.3
110;69;4.0
111;67;4.0
112;42;3.8
112;55;5.0
113;41;4.3
114;49;3.0
115;2;5.0
116;46;4.8
117;8;5.0
117;9;5.0
117;13;4.5
117;14;4.8
117;35;5.0
118;23;3.0
118;68;5.0
119;1;5.0
120;15;4.8
120;17;5.0
120;37;5.0
120;40;5.0
121;8;4.8
121;13;4.5
122;8;4.5
122;9;5.0
123;48;3.5
124;11;4.3
124;37;4.0
125;13;4.5
125;61;4.8
126;40;5.0
127;2;5.0
128;52;4.5
129;11;4.5
129;14;5.0
129;22;5.0
129;28;4.8
130;74;5.0
131;53;4.8
131;54;4.5
132;22;5.0
132;50;5.0
132;51;5.0
133;30;4.3
134;14;5.0
135;4;5.0
136;4;5.0
137;57;4.3
138;67;3.5
139;40;4.3
140;60;4.0
141;60;4.8
142;12;4.3
143;44;4.8
143;45;5.0
144;2;4.0
145;33;5.0
145;65;5.0
146;57;4.3
147;4;5.0
148;18;4.3
149;63;5.0
150;31;3.5
150;44;3.5
151;1;4.5
152;9;5.0
152;13;5.0
153;66;5.0
153;67;4.5
154;66;4.0
155;2;4.8
156;17;4.5
156;55;5.0
157;18;4.0
158;10;4.8
159;2;5.0
160;23;5.0
161;20;3.3
161;24;3.3
162;2;2.8
163;46;5.0
164;49;4.8
165;27;5.0
166;34;4.8
166;36;4.5
166;60;4.8
167;3;4.8
167;7;5.0
167;67;5.0
167;72;4.8
168;38;4.0
168;54;4.8
169;66;4.8
170;14;4.5
170;18;4.0
170;27;5.0
170;39;4.8
171;12;4.8
172;61;4.5
173;40;5.0
174;49;5.0
175;66;4.3
176;4;4.3
177;71;2.8
178;8;4.8
178;9;4.8
179;13;4.5
180;39;3.3
181;12;5.0
182;4;5.0
183;34;4.0
183;38;4.0
183;48;4.0
183;66;4.0
184;48;3.5
185;72;5.0
186;12;4.8
187;70;4.8
188;8;4.8
188;13;4.5
188;52;4.5
189;14;5.0
190;60;5.0
191;12;4.5
192;74;2.5
193;67;4.3
194;7;4.8
194;10;4.5
194;36;4.5
195;54;5.0
196;39;5.0
197;12;4.8
198;23;4.8
199;3;4.5
199;7;5.0
199;10;4.8
200;12;5.0
201;12;4.8
202;59;4.8
203;7;3.5
203;10;3.8
204;9;5.0
204;37;3.3
205;48;4.3
206;9;4.0
206;13;3.5
206;21;3.5
207;1;4.8
208;7;5.0
209;59;5.0
210;54;4.8
211;43;4.8
212;60;4.5
213;69;3.8
214;39;4.5
215;46;3.5
215;51;3.3
216;65;4.3
217;73;5.0
218;18;4.3
219;4;4.3
220;2;3.5
220;50;3.0
220;57;4.0
221;20;4.0
221;24;5.0
222;1;5.0
223;7;5.0
223;12;4.5
223;60;4.8
224;63;4.8
225;53;4.8
225;56;4.3
226;46;5.0
227;20;4.8
227;24;5.0
227;65;4.5
228;60;4.0
229;59;4.0
230;52;4.8
231;66;4.3
232;23;3.0
232;59;4.8
233;2;3.8
233;6;3.8
233;50;3.5
233;51;3.3
234;18;4.5
235;66;3.8
236;68;3.8
237;4;5.0
237;41;5.0
238;52;5.0
238;63;5.0
239;4;4.8
240;1;4.8
241;1;3.0
241;26;4.3
241;65;4.3
242;47;4.0
243;65;4.8
244;7;4.8
244;23;4.8
244;61;4.8
245;2;5.0
245;6;5.0
245;10;5.0
246;6;4.5
246;58;4.5
247;8;5.0
247;9;4.5
247;13;4.5
248;3;4.8
249;49;5.0
250;1;4.8
251;67;4.8
252;67;3.3
253;2;3.8
253;31;4.0
253;35;5.0
253;47;4.0
254;41;5.0
255;57;5.0
256;12;5.0
257;49;5.0
258;39;5.0
259;14;5.0
260;4;5.0
261;69;3.8
262;2;3.0
262;9;4.8
262;13;3.5
262;47;3.0
263;36;4.5
263;55;5.0
264;39;5.0
265;3;5.0
266;35;4.5
266;37;4.5
267;36;4.5
267;63;4.5
268;39;4.5
269;12;4.3
270;4;3.8
271;48;3.5
272;23;4.0
273;1;5.0
273;3;5.0
273;65;5.0
274;10;4.8
275;23;3.5
276;49;5.0
277;50;4.8
277;66;4.0
277;67;5.0
278;67;3.5
279;69;4.0
280;40;5.0
280;49;4.5
281;4;5.0
282;4;5.0
283;48;5.0
284;5;5.0
284;33;5.0
284;36;5.0
284;46;5.0
284;57;5.0
285;15;5.0
285;58;4.8
286;26;4.3
287;38;5.0
287;40;5.0
288;26;5.0
289;3;4.8
290;28;3.8
291;63;5.0
292;2;4.0
292;23;4.5
293;43;4.3
294;23;4.8
295;29;5.0
296;2;4.0
296;57;4.0
297;47;2.5
298;25;4.0
299;14;5.0
300;6;5.0
301;23;4.5
302;40;4.3
303;47;5.0
303;51;5.0
304;43;3.5
305;47;3.3
306;12;5.0
306;48;5.0
307;3;4.0
308;3;4.0
308;49;5.0
309;15;5.0
309;34;5.0
310;47;3.5
310;56;5.0
310;59;4.0
310;61;4.3
310;63;5.0
311;47;3.5
311;56;4.0
312;18;5.0
312;22;5.0
313;39;5.0
314;61;5.0
315;2;4.8
316;25;5.0
317;8;4.8
317;9;4.3
317;13;4.5
318;52;5.0
319;52;3.5
320;2;5.0
321;8;4.5
321;9;4.5
321;13;4.3
322;33;4.0
322;40;4.0
323;25;4.0
323;31;4.0
323;35;4.0
324;2;4.8
324;46;4.8
324;61;4.8
325;67;3.5
326;16;4.0
326;58;4.0
327;67;4.8
327;74;4.5
328;18;4.8
329;10;4.3
329;31;5.0
329;53;4.5
330;31;4.5
330;61;4.0
331;47;5.0
332;49;4.0
333;31;5.0
333;34;5.0
333;61;5.0
333;65;5.0
334;26;3.5
334;27;3.5
335;8;4.5
335;9;5.0
335;13;3.3
335;54;4.3
336;59;5.0
337;46;4.3
338;52;4.8
339;7;4.8
339;10;5.0
339;17;5.0
339;54;4.5
340;47;5.0
341;10;4.5
342;8;4.8
342;9;4.8
342;13;4.8
343;48;5.0
344;39;5.0
345;60;4.5
346;24;4.5
347;3;5.0
347;57;5.0
348;4;5.0
348;19;3.8
348;61;5.0
349;54;4.5
350;24;4.5
351;47;4.5
352;52;5.0
353;26;4.0
354;5;5.0
354;6;5.0
354;58;5.0
355;65;5.0
356;65;4.3
357;1;4.3
358;6;5.0
358;25;4.3
359;16;5.0
359;47;4.5
360;26;5.0
361;60;5.0
362;46;5.0
363;52;5.0
364;24;4.3
365;29;4.5
366;59;4.5
367;8;4.5
367;9;4.5
367;10;5.0
367;14;5.0
367;54;4.8
368;69;5.0
369;12;4.8
370;22;5.0
370;51;5.0
371;37;5.0
372;22;4.0
372;39;4.3
373;33;4.0
373;36;4.0
373;49;4.0
374;37;4.3
374;65;4.3
375;22;3.5
375;55;4.8
376;52;5.0
376;57;4.8
377;39;5.0
377;59;5.0
378;46;4.0
379;48;4.3
380;60;5.0
381;24;5.0
382;49;5.0
383;48;4.8
384;25;4.5
384;26;4.5
385;26;5.0
385;32;5.0
386;52;4.5
387;23;4.8
388;42;5.0
389;37;5.0
390;1;4.5
391;10;5.0
391;38;5.0
391;40;5.0
391;42;5.0
391;49;5.0
391;53;5.0
392;23;4.5
392;67;4.3
393;54;4.8
394;3;4.0
395;18;5.0
396;1;4.8
397;23;4.0
398;3;5.0
399;16;5.0
399;35;5.0
400;41;4.0
401;46;5.0
402;3;3.5
403;6;4.8
404;14;4.8
404;26;4.0
405;49;4.5
406;19;4.3
407;12;5.0
407;34;5.0
408;28;4.5
408;57;4.8
409;1;4.8
410;16;5.0
410;47;5.0
411;22;5.0
411;47;4.8
412;33;3.3
412;53;3.8
413;39;5.0
414;61;4.5
415;52;4.8
416;65;3.8
417;49;3.8
418;47;4.8
419;23;4.5
420;6;5.0
420;7;4.8
420;14;4.5
421;47;4.3
422;6;4.8
423;65;4.3
424;60;5.0
425;67;3.8
426;1;4.5
427;39;5.0
428;1;4.8
428;5;4.5
429;40;5.0
429;43;3.5
430;60;4.3
431;12;3.8
431;58;4.0
432;54;4.8
433;42;5.0
434;8;4.5
434;13;4.0
435;31;5.0
435;55;4.5
436;54;5.0
437;37;3.3
438;28;4.8
439;14;5.0
440;63;4.5
441;42;4.8
442;39;4.3
442;51;4.5
443;47;3.8
444;19;5.0
444;21;5.0
444;23;5.0
445;57;4.0
446;2;5.0
446;50;5.0
447;63;4.3
448;44;4.5
448;45;4.8
449;54;4.3
450;8;5.0
450;52;4.8
451;47;5.0
452;16;5.0
452;33;5.0
453;19;5.0
453;21;4.8
453;23;4.8
454;28;5.0
455;2;5.0
456;69;3.5
457;70;4.3
457;71;4.3
457;74;3.8
458;39;4.5
459;31;5.0
459;46;4.8
460;26;4.0
460;37;3.5
460;41;4.5
460;51;3.8
461;63;4.8
462;7;5.0
462;52;5.0
462;57;5.0
463;25;4.0
464;47;5.0
465;60;4.0
466;61;5.0
467;12;3.3
467;46;4.3
468;69;4.0
469;70;5.0
470;67;4.3
471;52;4.8
472;49;5.0
473;37;5.0
473;41;4.0
474;46;5.0
474;52;5.0
475;18;4.5
476;6;5.0
477;3;4.0
478;48;4.5
479;49;5.0
480;41;3.8
481;2;4.8
481;6;5.0
481;16;5.0
481;33;5.0
482;49;4.3
483;41;5.0
484;46;4.5
485;7;5.0
486;3;5.0
486;10;5.0
487;7;4.8
487;63;4.0
488;8;5.0
488;67;5.0
489;46;4.8
490;2;3.5
490;16;3.5
491;39;5.0
492;1;5.0
493;11;5.0
493;35;5.0
494;25;4.5
495;48;4.3
496;25;5.0
497;70;3.5
498;70;5.0
499;48;5.0
500;2;5.0
501;1;4.8
502;63;5.0
503;3;3.5
504;10;4.0
505;12;5.0
506;14;4.8
507;2;5.0
508;8;5.0
508;13;4.5
509;11;3.5
510;12;4.8
511;22;5.0
511;47;4.0
512;5;5.0
512;58;5.0
513;59;3.5
513;65;4.8
514;19;4.3
514;24;4.0
515;46;4.0
516;2;5.0
517;8;4.3
517;13;4.3
518;60;4.5
519;68;4.0
520;18;4.5
521;7;4.5
521;63;4.5
522;8;5.0
522;13;4.8
523;62;5.0
523;64;5.0
524;62;5.0
524;64;5.0
525;37;4.3
526;67;3.5
527;14;4.8
527;60;4.3
528;3;5.0
529;25;4.8
530;12;5.0
530;16;5.0
530;22;5.0
530;46;5.0
531;2;4.8
532;17;4.8
532;49;5.0
533;52;4.3
534;31;5.0
534;62;4.3
534;64;4.5
535;49;4.3
536;34;5.0
536;40;5.0
537;36;4.0
537;63;4.3
538;49;4.8
539;15;5.0
539;26;5.0
540;22;5.0
540;51;5.0
541;12;4.5
542;1;4.5
543;23;3.3
544;8;5.0
544;13;5.0
545;68;3.5
546;1;4.8
547;3;4.8
547;10;5.0
547;17;4.8
548;2;4.5
548;10;3.5
549;42;4.8
550;12;5.0
551;62;5.0
551;64;5.0
552;23;4.8
553;47;4.8
554;52;4.5
555;11;3.3
556;54;4.5
557;65;4.5
558;10;5.0
559;62;5.0
559;64;5.0
560;12;5.0
560;22;5.0
561;65;4.3
562;5;5.0
562;35;4.0
563;52;3.8
564;5;5.0
565;14;5.0
565;15;5.0
566;67;4.8
567;67;5.0
568;49;5.0
569;39;4.5
570;18;5.0
571;46;4.8
572;48;3.0
573;49;4.3
574;2;4.8
574;22;4.8
575;54;4.0
576;24;4.3
577;69;4.0
578;7;5.0
578;61;5.0
579;19;4.0
579;33;4.8
579;56;4.3
580;1;4.5
581;46;5.0
582;37;5.0
583;63;5.0
584;23;3.5
584;24;4.5
584;66;3.5
584;67;4.0
585;1;4.5
586;37;5.0
587;26;5.0
588;65;4.5
589;23;5.0
590;62;5.0
590;64;5.0
591;53;5.0
591;63;5.0
592;52;4.0
593;10;5.0
593;20;5.0
594;5;5.0
594;18;4.8
594;37;5.0
595;14;5.0
596;68;5.0
597;70;3.8
597;71;4.0
598;32;4.8
598;41;4.5
599;10;4.0
600;39;4.8
601;10;5.0
601;46;5.0
602;24;4.8
603;63;4.5
604;31;5.0
604;35;5.0
605;11;4.0
606;1;5.0
607;10;5.0
608;15;5.0
608;40;5.0
608;59;5.0
609;67;4.8
610;2;4.5
610;16;4.0
610;47;4.0
611;18;4.0
612;60;4.0
613;2;3.8
614;56;5.0
615;23;3.8
616;41;5.0
617;3;4.0
618;20;4.0
618;24;3.8
618;41;4.5
618;72;4.0
619;34;4.3
619;62;4.0
619;64;4.3
620;37;4.8
621;2;4.8
622;39;4.8
622;46;4.8
622;52;5.0
623;34;4.8
624;3;4.5
625;12;5.0
626;16;5.0
626;22;5.0
626;47;4.3
627;43;4.0
628;3;5.0
629;10;4.5
629;14;4.8
629;34;5.0
630;49;4.8
630;55;5.0
631;37;4.3
632;23;4.0
633;54;4.5
634;54;4.5
635;11;4.8
635;56;5.0
636;23;4.3
637;71;4.0
638;8;4.8
638;9;4.8
639;21;5.0
639;24;4.0
639;47;4.0
640;39;4.3
641;52;5.0
642;48;4.5
643;67;5.0
644;3;4.5
645;67;4.3
646;7;5.0
646;18;4.5
646;38;4.8
647;4;5.0
647;21;5.0
647;31;5.0
647;49;4.8
648;2;4.8
648;54;4.8
649;68;4.3
650;36;4.8
650;50;3.0
651;60;5.0
651;67;2.8
652;37;4.0
653;47;5.0
654;62;4.3
654;64;4.5
655;8;4.8
655;9;5.0
655;13;4.8
655;36;4.8
655;57;5.0
656;30;4.5
656;47;4.5
657;60;4.0
658;23;3.3
659;11;4.8
660;12;5.0
661;11;5.0
662;63;4.8
663;11;3.0
664;65;4.3
665;25;5.0
665;39;5.0
666;16;5.0
666;28;4.3
667;34;4.5
667;36;4.0
668;68;4.8
669;2;4.3
669;31;5.0
670;2;5.0
671;56;5.0
672;29;4.3
672;34;4.8
673;33;5.0
673;49;5.0
674;23;4.0
675;27;5.0
676;57;5.0
677;32;4.8
677;36;4.0
678;63;4.8
679;2;4.3
680;39;5.0
681;43;3.8
682;60;4.5
683;67;2.8
684;23;5.0
685;60;5.0
686;54;5.0
687;2;5.0
688;72;5.0
689;28;5.0
690;52;4.8
691;39;4.3
692;48;4.0
693;67;4.8
694;73;4.5
695;69;4.5
696;29;3.8
697;63;4.8
698;63;5.0
699;35;5.0
699;53;5.0
699;61;5.0
700;24;4.8
701;5;4.8
701;8;4.8
702;24;4.0
703;9;5.0
704;39;4.5
705;37;5.0
706;47;5.0
707;7;5.0
707;33;5.0
708;10;5.0
708;49;4.8
709;20;4.0
709;24;4.0
710;61;4.3
710;62;4.8
710;64;4.5
711;62;4.8
711;64;5.0
712;23;4.8
713;10;5.0
713;33;5.0
713;40;4.8
713;49;4.8
714;18;4.0
715;34;5.0
716;44;5.0
717;5;4.5
718;5;5.0
719;5;4.8
719;56;5.0
719;63;5.0
720;8;5.0
720;9;5.0
721;11;4.5
722;69;3.0
723;40;5.0
723;65;4.8
724;25;4.0
725;39;4.8
726;73;1.5
727;11;4.8
727;31;4.8
728;57;4.3
729;31;4.0
729;40;4.5
729;58;4.8
730;5;5.0
730;56;4.8
730;58;4.0
730;63;4.8
731;34;4.0
731;38;4.8
732;37;4.8
733;63;4.5
734;3;4.8
734;7;4.8
734;10;5.0
734;19;4.5
735;20;4.5
735;21;4.5
736;57;4.5
737;2;5.0
738;31;5.0
738;35;5.0
739;3;5.0
740;36;4.3
740;56;3.8
741;20;4.0
741;21;4.0
742;12;3.8
743;12;4.8
744;60;4.8
745;2;5.0
746;3;4.0
747;48;4.0
748;48;4.5
749;35;4.8
749;38;5.0
750;18;4.5
751;2;5.0
752;3;4.8
753;71;3.3
754;6;4.3
754;16;5.0
755;1;4.8
756;24;4.8
757;52;5.0
758;35;5.0
758;38;5.0
759;70;3.5
760;37;5.0
761;39;4.5
762;48;4.8
763;47;4.0
764;26;3.8
765;49;5.0
766;54;5.0
767;46;4.0
767;54;4.0
768;17;4.3
768;54;4.5
768;61;4.3
769;39;4.0
770;54;4.5
771;6;5.0
772;30;4.8
773;67;4.3
774;12;5.0
775;2;5.0
775;18;5.0
775;47;5.0
775;60;5.0
776;3;5.0
777;46;4.8
777;52;5.0
778;37;4.0
779;38;5.0
